tributary,site_no,date,water_year,log_daily_q,mean_prior_weekly_q,mean_prior_monthly_q,delta_daily_q,delta_daily_q_cat,lag_daily_q,season
Bouquet River,04276500,2024-05-04,2024,-1.762189802977074,-1.6816771183810637,-1.5031673188699277,-0.043514123609063926,0,-1.71867567936801,Spring
Bouquet River,04276500,2024-05-05,2024,-1.7777204619689633,-1.681531650392163,-1.5078726390651354,-0.015530658991889323,0,-1.762189802977074,Spring
Bouquet River,04276500,2024-05-06,2024,-1.7298598463205237,-1.6837503159624327,-1.515893370386291,0.047860615648439575,1,-1.7777204619689633,Spring
Bouquet River,04276500,2024-05-07,2024,-1.745234707887478,-1.7032621327870054,-1.5245935080245285,-0.015374861566954223,0,-1.7298598463205237,Spring
Bouquet River,04276500,2024-05-08,2024,-1.810554315090389,-1.7234752964528335,-1.5318706110179101,-0.06531960720291119,-1,-1.745234707887478,Spring
Bouquet River,04276500,2024-05-09,2024,-1.8197460758016177,-1.7463146842839035,-1.5410864055065079,-0.009191760711228625,0,-1.810554315090389,Spring
Bouquet River,04276500,2024-05-10,2024,-1.8573235579593275,-1.766282984202008,-1.5528172186264222,-0.03757748215770973,0,-1.8197460758016177,Spring
Bouquet River,04276500,2024-05-11,2024,-1.884761806306267,-1.7860898240007677,-1.5695549645563507,-0.02743824834693953,0,-1.8573235579593275,Spring
Bouquet River,04276500,2024-05-12,2024,-1.8874676996821917,-1.8036001101906523,-1.5897578805767176,-0.0027058933759247505,0,-1.884761806306267,Spring
Bouquet River,04276500,2024-05-13,2024,-1.8423893249470036,-1.8192782870068278,-1.6201408982106633,0.045078374735188165,1,-1.8874676996821917,Spring
Bouquet River,04276500,2024-05-14,2024,-1.8049067129831864,-1.8353539268106107,-1.655664954830707,0.03748261196381719,0,-1.8423893249470036,Spring
Bouquet River,04276500,2024-05-15,2024,-1.7462139517790283,-1.8438784989671404,-1.6766573874705402,0.05869276120415812,1,-1.8049067129831864,Spring
